Data/Ora, Ozono - µg/m³
2022/03/21,102.8
2022/03/22,110.2
2022/03/23,101.6
2022/03/24,108.9
2022/03/25,115.2
2022/03/26,127.6
2022/03/27,125.3
2022/03/28,127.7
2022/03/29,121.3
2022/03/30,65.8
2022/03/31,81.8
2022/04/01,65.4
2022/04/02,85.7
2022/04/03,78.5
2022/04/04,83.0
2022/04/05,107.4
2022/04/06,111.0
2022/04/07,95.8
2022/04/08,87.2
2022/04/09,94.4
2022/04/10,98.9
2022/04/11,111.8
2022/04/12,114.0
2022/04/13,126.1
2022/04/14,121.8
2022/04/15,154.8
2022/04/16,135.4
2022/04/17,101.5
2022/04/18,112.7
2022/04/19,115.0
2022/04/20,91.6
2022/04/21,95.8
2022/04/22,81.7
2022/04/23,70.1
2022/04/24,95.7
2022/04/25,94.3
2022/04/26,72.3
2022/04/27,111.8
2022/04/28,120.4
2022/04/29,123.5
2022/04/30,122.3
2022/05/01,117.6
2022/05/02,122.1
2022/05/03,91.7
2022/05/04,101.0
2022/05/05,71.8
2022/05/06,61.5
2022/05/07,89.9
2022/05/08,89.1
2022/05/09,109.1
2022/05/10,132.0
2022/05/11,141.6
2022/05/12,131.8
2022/05/13,114.3
2022/05/14,131.6
2022/05/15,141.2
2022/05/16,122.3
2022/05/17,131.8
2022/05/18,120.2
2022/05/19,133.8
2022/05/20,146.2
2022/05/21,134.4
2022/05/22,116.1
2022/05/23,111.2
2022/05/24,132.2
2022/05/25,110.1
2022/05/26,123.0
2022/05/27,145.7
2022/05/28,127.8
2022/05/29,88.3
2022/05/30,85.0
2022/05/31,103.4
2022/06/01,117.3
2022/06/02,150.8
2022/06/03,87.8
2022/06/04,106.1
2022/06/05,119.6
2022/06/06,138.6
2022/06/07,113.0
2022/06/08,94.9
2022/06/09,95.1
2022/06/10,126.6
2022/06/11,165.7
2022/06/12,157.5
2022/06/13,174.2
2022/06/14,153.5
2022/06/15,161.1
2022/06/16,183.8
2022/06/17,192.9
2022/06/18,168.5
2022/06/19,160.0
2022/06/20,134.4
2022/06/21,129.4
2022/06/22,117.2
2022/06/23,95.4
2022/06/24,95.2
2022/06/25,120.0
2022/06/26,125.6
2022/06/27,135.5
2022/06/28,114.1
2022/06/29,132.7
2022/06/30,144.8
2022/07/01,130.1
2022/07/02,154.8
2022/07/03,164.8
2022/07/04,148.6
2022/07/05,135.7
2022/07/06,133.1
2022/07/07,153.6
2022/07/08,142.6
2022/07/09,129.4
2022/07/10,111.1
2022/07/11,144.8
2022/07/12,140.6
2022/07/13,149.1
2022/07/14,178.5
2022/07/15,148.3
2022/07/16,176.1
2022/07/17,152.5
2022/07/18,153.8
2022/07/19,157.9
2022/07/20,160.6
2022/07/21,169.6
2022/07/22,163.3
2022/07/23,133.6
2022/07/24,151.2
2022/07/25,161.3
2022/07/26,145.8
2022/07/27,134.4
2022/07/28,150.2
2022/07/29,144.4
2022/07/30,117.1
2022/07/31,132.3
2022/08/01,144.3
2022/08/02,144.6
2022/08/03,168.4
2022/08/04,153.5
2022/08/05,157.4
2022/08/06,166.0
2022/08/07,119.1
2022/08/08,132.9
2022/08/09,138.3
2022/08/10,127.8
2022/08/11,140.3
2022/08/12,130.0
2022/08/13,132.2
2022/08/14,125.0
2022/08/15,128.2
2022/08/16,119.2
2022/08/17,111.0
2022/08/18,82.4
2022/08/19,102.8
2022/08/20,119.9
2022/08/21,125.0
2022/08/22,148.0
2022/08/23,138.8
2022/08/24,130.6
2022/08/25,120.1
2022/08/26,126.5
2022/08/27,117.3
2022/08/28,115.6
2022/08/29,124.3
2022/08/30,113.4
2022/08/31,120.4
2022/09/01,108.3
2022/09/02,105.5
2022/09/03,113.1
2022/09/04,116.7
2022/09/05,131.4
2022/09/06,132.0
2022/09/07,112.8
2022/09/08,101.9
2022/09/09,109.8
2022/09/10,107.2
2022/09/11,106.1
2022/09/12,125.1
2022/09/13,130.6
2022/09/14,85.7
2022/09/15,106.1
2022/09/16,110.8
2022/09/17,86.7
2022/09/18,90.9
2022/09/19,88.5
2022/09/20,106.3
2022/09/21,82.2
2022/09/22,93.1
2022/09/23,100.5
2022/09/24,59.8
2022/09/25,77.6
2022/09/26,92.2
2022/09/27,90.8
2022/09/28,48.4
2022/09/29,68.4
2022/09/30,35.4
2022/10/01,68.0
2022/10/02,80.3
2022/10/03,72.2
2022/10/04,74.5
2022/10/05,84.4
2022/10/06,103.3
2022/10/07,90.3
2022/10/08,120.3
2022/10/09,57.8
2022/10/10,39.3
2022/10/11,48.0
2022/10/12,81.5
2022/10/13,66.1
2022/10/14,65.6
2022/10/15,89.9
2022/10/16,96.2
2022/10/17,79.3
2022/10/18,85.8
2022/10/19,80.5
2022/10/20,82.3
2022/10/21,42.9
2022/10/22,59.9
2022/10/23,33.2
2022/10/24,47.9
2022/10/25,44.7
2022/10/26,54.2
2022/10/27,57.9
2022/10/28,40.0
2022/10/29,57.3
2022/10/30,49.0
2022/10/31,47.3
2022/11/01,36.5
2022/11/02,17.1
2022/11/03,26.7
2022/11/04,60.2
2022/11/05,39.4
2022/11/06,36.1
2022/11/07,25.8
2022/11/08,8.0
2022/11/09,3.2
2022/11/10,7.8
2022/11/11,26.0
2022/11/12,14.7
2022/11/13,54.1
2022/11/14,40.1
2022/11/15,6.9
2022/11/16,23.1
2022/11/17,6.0
2022/11/18,30.3
2022/11/19,21.8
2022/11/20,42.3
2022/11/21,22.5
2022/11/22,31.5
2022/11/23,24.6
2022/11/24,21.4
2022/11/25,25.9
2022/11/26,13.9
2022/11/27,39.2
2022/11/28,14.7
2022/11/29,23.1
2022/11/30,4.6
2022/12/01,5.5
2022/12/02,16.8
2022/12/03,10.2
2022/12/04,21.7
2022/12/05,15.5
2022/12/06,8.2
2022/12/07,8.8
2022/12/08,10.9
2022/12/09,15.7
2022/12/10,26.7
2022/12/11,27.1
2022/12/12,19.9
2022/12/13,7.3
2022/12/14,9.3
2022/12/15,3.9
2022/12/16,7.2
2022/12/17,5.7
2022/12/18,9.6
2022/12/19,8.7
2022/12/20,5.7
2022/12/21,17.9
2022/12/22,9.7
2022/12/23,7.4
2022/12/24,4.8
2022/12/25,7.2
2022/12/26,4.0
2022/12/27,17.3
2022/12/28,5.6
2022/12/29,5.1
2022/12/30,4.3
2022/12/31,4.2
2023/01/01,6.4
2023/01/02,5.1
2023/01/03,2.8
2023/01/04,12.5
2023/01/05,40.5
2023/01/06,16.4
2023/01/07,27.3
2023/01/08,7.5
2023/01/09,50.1
2023/01/10,67.3
2023/01/11,7.6
2023/01/12,14.1
2023/01/13,5.1
2023/01/14,38.6
2023/01/15,5.4
2023/01/16,12.9
2023/01/17,11.3
2023/01/18,16.6
2023/01/19,51.4
2023/01/20,33.9
2023/01/21,57.3
2023/01/22,38.6
2023/01/23,7.3
2023/01/24,32.5
2023/01/25,35.9
2023/01/26,38.8
2023/01/27,43.2
2023/01/28,45.3
2023/01/29,51.5
2023/01/30,57.9
2023/01/31,37.7
2023/02/01,68.4
2023/02/02,60.7
2023/02/03,56.7
2023/02/04,71.3
2023/02/05,66.4
2023/02/06,55.4
2023/02/07,55.3
2023/02/08,58.9
2023/02/09,55.5
2023/02/10,42.9
2023/02/11,60.1
2023/02/12,73.5
2023/02/13,66.5
2023/02/14,80.3
2023/02/15,57.4
2023/02/16,83.3
2023/02/17,83.2
2023/02/18,84.4
2023/02/19,80.1
2023/02/20,41.5
2023/02/21,66.6
2023/02/22,35.7
2023/02/23,57.9
2023/02/24,41.5
2023/02/25,72.6
2023/02/26,63.3
2023/02/27,54.1
2023/02/28,55.5
2023/03/01,43.0
2023/03/02,44.3
2023/03/03,60.9
2023/03/04,85.5
2023/03/05,96.1
2023/03/06,85.4
2023/03/07,76.3
2023/03/08,74.0
2023/03/09,76.0
2023/03/10,70.9
2023/03/11,69.3
2023/03/12,80.2
2023/03/13,67.9
2023/03/14,56.8
2023/03/15,92.3
2023/03/16,91.4
2023/03/17,85.7
2023/03/18,95.7
2023/03/19,113.7
2023/03/20,98.1
2023/03/21,109.5
2023/03/22,105.1
2023/03/23,103.9
2023/03/24,74.3
2023/03/25,90.9
2023/03/26,78.5
2023/03/27,91.9
2023/03/28,97.7
2023/03/29,93.7
2023/03/30,86.1
2023/03/31,83.2
2023/04/01,89.9
2023/04/02,97.2
2023/04/03,76.3
2023/04/04,87.7
2023/04/05,92.0
2023/04/06,92.7
2023/04/07,91.3
2023/04/08,109.6
2023/04/09,108.3
2023/04/10,102.9
2023/04/11,105.6
2023/04/12,91.3
2023/04/13,78.4
2023/04/14,93.6
2023/04/15,93.7
2023/04/16,101.4
2023/04/17,87.0
2023/04/18,106.2
2023/04/19,116.8
2023/04/20,79.7
2023/04/21,74.5
2023/04/22,100.2
2023/04/23,108.6
2023/04/24,96.3
2023/04/25,95.3
2023/04/26,113.0
2023/04/27,125.2
2023/04/28,121.1
2023/04/29,101.8
2023/04/30,102.5
2023/05/01,85.3
2023/05/02,87.1
2023/05/03,103.9
2023/05/04,116.1
2023/05/05,134.1
2023/05/06,148.1
2023/05/07,116.6
2023/05/08,103.9
2023/05/09,96.4
2023/05/10,71.4
2023/05/11,81.7
2023/05/12,62.0
2023/05/13,90.8
2023/05/14,99.4
2023/05/15,92.4
2023/05/16,72.2
2023/05/17,62.9
2023/05/18,87.8
2023/05/19,56.4
2023/05/20,43.5
2023/05/21,83.2
2023/05/22,118.0
2023/05/23,127.5
2023/05/24,117.9
2023/05/25,110.9
2023/05/26,116.1
2023/05/27,121.2
2023/05/28,130.3
2023/05/29,130.9
2023/05/30,129.1
2023/05/31,130.5
2023/06/01,134.1
2023/06/02,129.8
2023/06/03,127.4
2023/06/04,114.0
2023/06/05,98.7
2023/06/06,138.3
2023/06/07,133.3
2023/06/08,141.7
2023/06/09,109.6
2023/06/10,104.6
2023/06/11,144.7
2023/06/12,137.4
2023/06/13,108.0
2023/06/14,115.9
2023/06/15,138.3
2023/06/16,143.2
2023/06/17,142.8
2023/06/18,145.3
2023/06/19,120.5
2023/06/20,138.8
2023/06/21,126.9
2023/06/22,179.6
2023/06/23,122.1
2023/06/24,150.2
2023/06/25,132.8
2023/06/26,168.6
2023/06/27,154.8
2023/06/28,128.8
2023/06/29,130.7
2023/06/30,81.9
2023/07/01,112.7
2023/07/02,120.7
2023/07/03,107.9
2023/07/04,117.8
2023/07/05,122.1
2023/07/06,102.4
2023/07/07,136.9
2023/07/08,158.4
2023/07/09,137.1
2023/07/10,164.1
2023/07/11,141.6
2023/07/12,117.0
2023/07/13,148.4
2023/07/14,120.5
2023/07/15,136.8
2023/07/16,124.3
2023/07/17,136.5
2023/07/18,147.1
2023/07/19,133.9
2023/07/20,158.5
2023/07/21,130.2
2023/07/22,119.8
2023/07/23,131.3
2023/07/24,97.9
2023/07/25,120.8
2023/07/26,84.5
2023/07/27,127.3
2023/07/28,128.6
2023/07/29,115.3
2023/07/30,103.7
2023/07/31,133.0
2023/08/01,117.2
2023/08/02,128.3
2023/08/03,116.3
2023/08/04,100.4
2023/08/05,133.2
2023/08/06,94.9
2023/08/07,90.0
2023/08/08,128.8
2023/08/09,137.7
2023/08/10,146.2
2023/08/11,152.5
2023/08/12,159.6
2023/08/13,146.1
2023/08/14,154.8
2023/08/15,149.0
2023/08/16,159.9
2023/08/17,147.6
2023/08/18,154.0
2023/08/19,169.0
2023/08/20,160.0
2023/08/21,151.6
